nproyecto,nrecurso
Entercom Communications Corporation,72633-51801-LJ
Cosayach - Soledad,90334-35749-OE
"Gabelli Equity Trust, Inc. (The)",6460-5490-BJ
"Littelfuse, Inc.",19397-52319-MF
"Westbury Bancorp, Inc.",81328-41065-LN
Caupolicán,20415-16943-FD
"UMH Properties, Inc.",14538-41706-OB
Neff Corporation,9096-60493-NA
Andacollo Cobre,1289-99000-EN
Entegra Financial Corp.,18467-88793-HO
Montecristo,55127-87277-HF
United Insurance Holdings Corp.,42276-99019-AE
Dos Amigos,7970-5934-ML
First Trust Nasdaq Retail ETF,21466-32413-GO
PowerShares Nasdaq Internet Portfolio,13855-64735-OH
Algorta,12544-2818-ON
"NextEra Energy, Inc.",99913-7345-BB
U.S. Energy Corp.,88797-95520-NB
Mantos de la Luna,24329-3096-HE
"Argos Therapeutics, Inc.",86506-56726-LE
Imax Corporation,43301-51186-IK
"Taiwan Fund, Inc. (The)",72022-44120-MB
"Spark Energy, Inc.",16317-73420-AH
Cummins Inc.,69804-15403-NI
Iván,56416-66236-BM
"Hub Group, Inc.",74004-85679-JB
3M Company,45315-28463-BE
Antucoya,11107-2061-FB
Terreno Realty Corporation,77988-49510-FA
"Delcath Systems, Inc.",57076-24122-BA
R.R. Donnelley & Sons Company,11520-24334-AB
Tranquilo,63165-42663-BN
Sierra Gorda,67662-74295-NJ
STMicroelectronics N.V.,90721-37677-HM
El Toqui,78906-46079-MB
Sierra Gorda,49766-64030-LB
"Westbury Bancorp, Inc.",10833-36005-AO
GlaxoSmithKline PLC,18723-50050-NG
Arlington Asset Investment Corp,82135-28601-BI
"Delcath Systems, Inc.",30516-94001-AG
"Littelfuse, Inc.",20374-40968-LB
"Ulta Beauty, Inc.",18696-62937-IM
SQM - María Elena,72867-15964-AA
Diageo plc,22919-68508-EN
Antucoya,94451-427-LK
III de Atacama Kozan,32405-5881-OE
Algorta,63961-54400-LJ
Lota,29955-80791-DM
"Western New England Bancorp, Inc.",85712-80411-FM
Las Piedras,27096-62086-OM
"Portola Pharmaceuticals, Inc.",29638-45590-GJ
Catamutún,33108-17806-FK
GlaxoSmithKline PLC,97551-7889-IH
"India Fund, Inc. (The)",15086-40730-GL
"XO Group, Inc.",9413-56856-JK
La Marcelina,23920-73752-OM
Cambrex Corporation,43272-10370-GJ
Special Opportunities Fund Inc.,38642-11568-MN
Guaranty Bancorp,65060-11251-BH
Urstadt Biddle Properties Inc.,24756-1540-AI
Isla Riesco,89155-73624-BB
"Portola Pharmaceuticals, Inc.",72636-55116-KB
SQM - Mapocho,74933-76586-NH
Zaldívar,53909-72920-IB
Dos Amigos,60897-91425-ON
Zion Oil & Gas Inc,30818-70453-IE
B.O.S. Better Online Solutions,41601-1329-HE
"Herman Miller, Inc.",76792-68770-DB
Westpac Banking Corporation,54747-15349-AI
Celite - Carol,22670-98291-BB
Comcast Corporation,77434-98724-HB
Inacesa - El Jilguero,80241-54613-EO
"Chegg, Inc.",24254-64694-IK
"Avon Products, Inc.",55811-79780-MG
SL Green Realty Corporation,16872-28798-OL
Coirón,65067-12774-MG
"Silicon Laboratories, Inc.",141-93552-DI
"Cleveland BioLabs, Inc.",30857-19457-BE
Toll Brothers Inc.,94007-83426-MH
"Apple Hospitality REIT, Inc.",53723-12934-IL
Inseego Corp.,97740-12418-MF
Pure Cycle Corporation,6416-14188-OG
"Kura Oncology, Inc.",43184-68123-LG
DRDGOLD Limited,25762-64333-EO
Escondida,68855-56201-DF
"Hurco Companies, Inc.",91940-59386-IN
Data Processing,58065-93411-HD
Independence Holding Company,7872-24866-KI
Celite - Tilviche,78037-97204-DE
Nuveen AMT-Free Municipal Value Fund,48443-1096-GM
Nabriva Therapeutics AG,17468-54648-DO
Corporate Asset Backed Corp CABCO,71607-38788-KB
United Insurance Holdings Corp.,29666-55463-JE
"Texas Capital Bancshares, Inc.",75494-5676-BO
American Homes 4 Rent,81604-54807-AL
"Xenia Hotels & Resorts, Inc.",597-67713-LB
Carola,54875-3883-JO
El Salvador,1504-9271-GA
Guaranty Bancorp,60632-36851-AF
"Commerce Bancshares, Inc.",34329-42688-GB
"Commercial Vehicle Group, Inc.",67454-66758-IB
"Arista Networks, Inc.",91876-24384-JI
RenaissanceRe Holdings Ltd.,44396-20166-KF
Montecristo,23262-75273-EG
Carola,40126-85090-OI
Trongol,91016-19666-NH
B.O.S. Better Online Solutions,86744-36785-JM
Walter Investment Management Corp.,99864-87852-BJ
Tekla Healthcare Opportunies Fund,67960-38140-NO
Texas Pacific Land Trust,71448-43942-IA
iShares 20+ Year Treasury Bond ETF,66596-40216-AH
Janus Henderson Small Cap Growth Alpha ETF,22822-27749-KK
Suncor EnergyInc.,16028-67340-JG
Guaranty Bancorp,96120-51512-OF
Pinatolca,79883-98219-MH
"Kayne Anderson Energy Total Return Fund, Inc.",56200-19853-LO
Johnson & Johnson,77986-90786-DM
Gilat Satellite Networks Ltd.,84329-45379-GG
Costamare Inc.,11999-95553-AB
B.O.S. Better Online Solutions,74606-42060-JE
Elkhorn Commodity Rotation Strategy ETF,55224-74694-NM
Celgene Corporation,56120-58414-GJ
Central Garden & Pet Company,78804-9564-JF
SQM Salar,66867-75759-EL
Toll Brothers Inc.,752-58768-AO
PowerShares Golden Dragon China Portfolio,60974-72677-IA
Check-Cap Ltd.,97568-3523-GM
Fertón,10698-9002-JE
Pupunahue,59902-43068-EJ
El Soldado,16331-85691-GO
"Rush Enterprises, Inc.",36164-54603-AB
"RiverNorth Opportunities Fund, Inc.",41170-88772-BK
"Enanta Pharmaceuticals, Inc.",79391-92235-GH
Gilat Satellite Networks Ltd.,20242-72360-LD
La Coipa,68080-29219-FJ
Chuquicamata,97699-43534-JG
Fertón,28689-34319-NK
Refugio,55830-7271-MI
"Western New England Bancorp, Inc.",22594-34171-HN
Chimberos,54918-42604-JA
"MasTec, Inc.",51509-19671-NO
Manantial,64691-10906-IH
Pucobre,24466-3525-MG
Texas Pacific Land Trust,93131-88425-BH
SQM - Mapocho,92759-17849-HJ
"The Travelers Companies, Inc.",54001-69327-DB
Lomas Bayas,22299-82444-JI
"FTI Consulting, Inc.",51470-82710-LJ
"Avenue Therapeutics, Inc.",54221-47437-IB
CMP - Boquerón Chañar,53702-52315-NO
Pure Cycle Corporation,95315-78000-EK
"National American University Holdings, Inc.",83587-20320-KB
Virco Manufacturing Corporation,63805-33107-OF
"Nustar GP Holdings, LLC",40510-62123-BA
Nabriva Therapeutics AG,5826-18315-HK
El Soldado,25948-65735-BB
Northrop Grumman Corporation,30855-46962-NH
Las Cenizas,10052-11144-BF
Victoria,72009-609-BM
Gilat Satellite Networks Ltd.,43715-19190-DE
Hamilton Lane Incorporated,96694-43934-NB
Maganeso III de Atacama,77664-64592-EJ
La Picarda,8231-57858-OF
GlaxoSmithKline PLC,4881-22666-GE
STMicroelectronics N.V.,63167-16848-IJ
"Commercial Vehicle Group, Inc.",56735-88000-HM
"Western Refining Logistics, LP",910-20304-AB
"Spark Energy, Inc.",47337-42767-OF
CMP - Algarrobo,16654-25276-LA
Escondida,51685-41203-NO
Orbotech Ltd.,19872-26468-BD
Peabody Energy Corporation,78840-76991-ON
"Discovery Communications, Inc.",86492-78246-AB
Inacesa - El Way,36417-22365-EK
"support.com, Inc.",14730-448-KL
Ministro Hales,66120-47289-KF
Nabriva Therapeutics AG,62645-30029-NI
Elenita,19051-20693-FB
Catamutún,93322-46422-GA
Western Asset Bond Fund,79191-90179-KD
Yelp Inc.,62916-10553-GK
Manantial,44701-43133-NE
"Delcath Systems, Inc.",647-42045-BH
Old Republic International Corporation,62823-23573-IG
Lions Gate Entertainment Corporation,70403-87176-BK
AmerisourceBergen Corporation (Holding Co),53698-33545-BA
Michilla,71528-32917-GN
Manto Verde,12622-83180-OF
United Microelectronics Corporation,57585-38501-NE
Johnson & Johnson,41533-63216-JF
Envision Healthcare Corporation,99346-87212-DE
Bed Bath & Beyond Inc.,8920-69252-MN
CoreSite Realty Corporation,16584-78015-FB
"Everspin Technologies, Inc.",9834-51216-JN
"Blackhawk Network Holdings, Inc.",28619-89588-AL
Blackstone GSO Long Short Credit Income Fund,42932-16159-MN
Franke,89684-63944-AO
First Trust Emerging Markets Small Cap AlphaDEX Fund,28498-27399-FD
"Edge Therapeutics, Inc.",75975-62217-JD
Crawford & Company,52207-22541-DG
"H&R Block, Inc.",27174-6147-KA
Garrison Capital Inc.,88235-14237-JA
"Chunghwa Telecom Co., Ltd.",31912-45768-EJ
Cosayach - Soledad,26272-59871-EH
"Blackhawk Network Holdings, Inc.",31798-21407-KH
Kamada Ltd.,51510-56627-JF
III de Atacama Kozan,59471-73234-MI
Cabot Corporation,44017-83872-BO
Don Alberto,16074-27200-FJ
Delta,72958-20936-DM
PowerShares BuyBack Achievers Portfolio,17732-42261-NL
Victoria,23579-58409-BH
Celite - Carol,79924-88251-IB
"Urban One, Inc. ",25612-62906-HJ
U.S. Energy Corp.,61129-11303-LB
"Cogentix Medical, Inc.",27974-968-AH
Independence Holding Company,34078-92870-KB
L.B. Foster Company,26247-71049-AA
Mantos Blancos,795-43932-IF
Terreno Realty Corporation,54620-65321-BN
Mantos Blancos,92785-84997-LL
Dorado,49660-97515-AB
El Tofo,5242-79597-BE
El Peñón,19252-25274-MD
Bright Scholar Education Holdings Limited,59632-64914-KM
ACF - Lagunas,29035-75969-GM
Drive Shack Inc.,15649-64852-GO
Peckett,14362-58052-OI
E*TRADE Financial Corporation,50644-92675-MN
Biglari Holdings Inc.,39902-39736-MI
Collahuasi,24543-45049-EK
GlaxoSmithKline PLC,81832-76966-JN
"Forterra, Inc.",99890-58504-DJ
Peapack-Gladstone Financial Corporation,27845-80597-KG
"Ashford Hospitality Prime, Inc.",33629-78448-GN
CMP - Algarrobo,70148-55366-NI
"Chunghwa Telecom Co., Ltd.",53660-29532-EE
"XO Group, Inc.",85483-9412-HF
Coirón,66749-13508-DO
"Midland States Bancorp, Inc.",68389-37672-AD
Central Garden & Pet Company,28120-42476-FN
Las Pataguas,80956-69663-KL
Dorado,8259-26331-FL
Bed Bath & Beyond Inc.,16939-3492-BF
CMP - Los Colorados,18590-32206-JH
Pucobre,45809-22483-HB
Pupunahue,60569-36070-BB
Check-Cap Ltd.,95828-28392-BF
Azul S.A.,33307-99802-ML
Diana Shipping inc.,932-78586-MM
CMP - Boquerón Chañar,26342-63255-BF
"First Financial Bankshares, Inc.",84411-39482-FH
Romeral,40688-2565-MJ
El Volcán,22557-49208-GN
"Kura Oncology, Inc.",49816-85026-KG
Microsemi Corporation,62332-52848-EJ
"Texas Capital Bancshares, Inc.",1655-56819-GA
Haldeman - Sagasca,502-51476-EN
Walter Investment Management Corp.,94217-41019-BG
"Gray Television, Inc.",69504-14930-OJ
"Hawkins, Inc.",78258-8562-BA
"Avenue Therapeutics, Inc.",84833-86412-NE
Janus Henderson Small Cap Growth Alpha ETF,55680-343-BJ
"UMH Properties, Inc.",23450-50147-FD
Regal Entertainment Group,33192-84987-OM
"German American Bancorp, Inc.",50861-39278-OO
PureFunds ETFx HealthTech ETF,77716-20911-FG
La Picarda,7816-7469-MB
"Zynerba Pharmaceuticals, Inc.",54059-72154-FF
Brookfield Global Listed Infrastructure Income Fund,25349-82791-DN
First Trust Senior Loan Fund ETF,10315-64569-OB
Kilroy Realty Corporation,2907-26333-JO
PowerShares KBW High Dividend Yield Financial Portfolio,71659-23045-BO
United Microelectronics Corporation,42081-20990-BG
EPR Properties,13590-71024-AH
"Gabelli Equity Trust, Inc. (The)",30549-79649-GG
La Perla,44660-42264-HG
Las Arenitas,32090-46938-BG
GlaxoSmithKline PLC,20896-92007-FK
Celite - Tana,99208-92427-JG
"Tootsie Roll Industries, Inc.",91068-11647-LJ
Cummins Inc.,63712-41206-NB
La Perla,94817-14142-DE
Las Cenizas,71552-27996-LD
"Sarepta Therapeutics, Inc.",3463-90760-KB
BRF S.A.,67740-53420-EO
Bright Scholar Education Holdings Limited,47098-64134-EB
Special Opportunities Fund Inc.,72184-83703-BI
Spence,38049-6613-DF
Entegra Financial Corp.,78239-17216-JE
Punitaqui,46376-38781-EN
III de Atacama Minerals - Aguas Blancas,73613-69749-GI
"PDF Solutions, Inc.",98625-6809-BH
Caserones,90562-72494-ED
CVS Health Corporation,35855-67046-NG
Independence Holding Company,76024-40030-DB
"Recon Technology, Ltd.",75669-41853-KN
"Nustar GP Holdings, LLC",12215-72268-NJ
CMP - Cerro Negro Norte,5235-25222-GM
Novelion Therapeutics Inc.,21067-59959-JM
Pinatolca,28513-10098-IL
"Hawkins, Inc.",39956-83921-LK
Regal Entertainment Group,17514-16908-LH
"Spark Energy, Inc.",11518-48388-HN
"National American University Holdings, Inc.",32587-57745-IA
R.R. Donnelley & Sons Company,60626-35858-LB
Montecristo,27724-44770-JD
"PDF Solutions, Inc.",4635-36116-ED
Georgia Power Company,25443-11067-JE
Anheuser-Busch Inbev SA,53110-94973-JK
EPR Properties,27337-86642-GO
"Meridian Waste Solutions, Inc",99629-24963-HG
STMicroelectronics N.V.,59511-77953-MB
"NextEra Energy, Inc.",87659-52349-BO
"CatchMark Timber Trust, Inc.",18833-41700-BD
"Western New England Bancorp, Inc.",44986-89999-HB
iShares MSCI EM ESG Optimized ETF,14044-98553-BB
Cerro Colorado,33696-80911-JO
Pinatolca,96423-21613-BJ
"Impax Laboratories, Inc.",44362-21126-KF
Moog Inc.,97281-45795-DE
Bronce de Petorca,40955-99983-FO
Elkhorn Commodity Rotation Strategy ETF,96909-66110-KH
"Franklin Financial Network, Inc.",94917-15733-LA
"Sarepta Therapeutics, Inc.",42389-49565-BI
"support.com, Inc.",19819-13255-KJ
"Safe Bulkers, Inc",83924-16918-BB
SCL Chemetall,27904-71524-EA
PTC Inc.,58367-11892-IG
"Discovery Communications, Inc.",5477-74734-DJ
"Ocular Therapeutix, Inc.",77473-98156-IB
Georgia Power Company,15945-21291-AI
Tekla Healthcare Opportunies Fund,92716-23295-AL
Peapack-Gladstone Financial Corporation,36963-82109-OD
"Nutanix, Inc.",21466-56481-FO
Enel Generacion Chile S.A.,11904-72750-MB
"Zynerba Pharmaceuticals, Inc.",17042-25113-HJ
"Diamond Hill Investment Group, Inc.",56550-26337-ME
Don Alberto,32215-21930-JM
Comcast Corporation,37619-53676-LM
Cerro Casale,82773-99403-HO
Eagle Bulk Shipping Inc.,82009-63400-MB
La Coipa,13947-62611-BE
United Microelectronics Corporation,88923-95406-BH
"Tootsie Roll Industries, Inc.",77200-74378-OA
"Biocept, Inc.",33604-36547-MK
Hamilton Lane Incorporated,37441-829-AJ
"Avon Products, Inc.",30851-48865-KN
"Everspin Technologies, Inc.",68171-84988-KN
Lions Gate Entertainment Corporation,13268-27134-OD
Navío,76873-15960-DO
Entegra Financial Corp.,65011-35443-MO
"Pepsico, Inc.",73270-91486-BD
"Pepsico, Inc.",33464-44450-FN
"China Lodging Group, Limited",68488-80750-IB
Ceragon Networks Ltd.,32427-27549-OM
Pullalli,78887-13594-HM
El Volcán,82662-60182-DF
Suncor EnergyInc.,20369-63612-BH
"Aspen Technology, Inc.",87384-77217-LO
Park-Ohio Holdings Corp.,7677-48304-JG
Zion Oil & Gas Inc,82316-71850-DE
Kamada Ltd.,27391-73796-EF
Peabody Energy Corporation,70016-63332-ML
Lota,3172-99119-BD
Intracampos,29258-30699-JM
Pucobre,25619-90411-BH
STMicroelectronics N.V.,36165-33765-KI
Pullalli,39298-74907-II
Georgia Power Company,70278-66185-FD
SQM Salar,59173-86933-BF
Independence Holding Company,68927-34384-JL
Nabriva Therapeutics AG,3922-37939-FE
Corporate Asset Backed Corp CABCO,62986-24901-AI
Trongol,80484-58926-OA
Biglari Holdings Inc.,4886-26350-MD
Sierra Miranda,89521-89591-NN
Vanguard Russell 3000 ETF,48619-30181-HG
Western Alliance Bancorporation,21743-50003-MD
"SolarEdge Technologies, Inc.",36636-34648-BB
"Western New England Bancorp, Inc.",65230-47087-BE
Orbotech Ltd.,42357-94539-FI
EPR Properties,27465-33952-KD
La Productora,21358-71841-KK
"Gray Television, Inc.",16076-78277-BF
SQM - Yumbes,71275-38361-HN
"Sierra Oncology, Inc.",97962-96664-FA
"Fiserv, Inc.",17998-50252-KM
Comcast Corporation,76954-15478-HH
Array BioPharma Inc.,11861-58078-IL
"PDF Solutions, Inc.",68658-5536-DG
Novelion Therapeutics Inc.,2491-64572-NH
Entegra Financial Corp.,491-61951-HH
Manantial,66727-66965-GN
Spence,32219-52552-HB
"Pepsico, Inc.",17669-26850-LI
"The Chefs' Warehouse, Inc.",62101-24403-BG
CMP - Cerro Negro Norte,39410-18540-IB
Azul S.A.,47452-2176-FM
China Cord Blood Corporation,29498-38160-JG
Catamutún,85430-28750-JO
"Tootsie Roll Industries, Inc.",9195-2123-BA
China Mobile (Hong Kong) Ltd.,80312-39983-HB
Silvercrest Asset Management Group Inc.,96794-80044-IG
Colico Sur,44874-33326-JK
El Morro,83637-35729-MB
"Pepsico, Inc.",23028-83776-DN
"Vectrus, Inc.",89879-21521-HE
Arlington Asset Investment Corp,70320-63177-AB
El Peñón,45836-72683-BJ
"PDF Solutions, Inc.",59210-60315-HK
Unisys Corporation,96829-22106-BH
"Argos Therapeutics, Inc.",53560-52416-EF
"Western New England Bancorp, Inc.",67191-58761-NI
Talcuna,23780-60031-DH
El Volcán,67847-62767-EB
Nuveen Municipal High Income Opportunity Fund,41445-90457-HH
Zaldívar,26073-68612-FL
"Western Refining Logistics, LP",74067-55122-MO
El Peñón,63609-56466-AO
Cerro Colorado,58892-9179-IA
Central Garden & Pet Company,35463-3466-HO
Mackinac Financial Corporation,6698-66263-LE
United Insurance Holdings Corp.,74364-24052-MM
Montecristo,74468-8204-BI
"Kayne Anderson Energy Total Return Fund, Inc.",8913-28259-EE
Inacesa - El Way,71484-58194-HK
Voya Global Equity Dividend and Premium Opportunity Fund,34782-5145-OI
PTC Inc.,22650-19971-DI
Data Processing,64653-16680-OL
La Perla,89546-91348-GF
"SolarEdge Technologies, Inc.",29456-76317-KJ
"Nutanix, Inc.",82372-11461-NH
Tata Motors Ltd,77193-48908-BD
CMP - Boquerón Chañar,73953-80553-JB
Punitaqui,34195-32673-KO
"Delcath Systems, Inc.",76237-25218-OB
Jerónimo,34402-74137-EI
Dynatronics Corporation,84136-59686-HG
Schwager,39798-53417-LN
Zaldívar,51017-54578-FO
"First Hawaiian, Inc.",21912-51930-OI
"Gray Television, Inc.",67314-26457-AH
Antucoya,90258-13441-EL
Cosayach - Soledad,77710-99046-AF
PureFunds ETFx HealthTech ETF,81364-48965-FG
"Argos Therapeutics, Inc.",56230-2827-FJ
CMP - Cerro Negro Norte,94368-66883-KO
"Taiwan Fund, Inc. (The)",88234-86232-HB
Bed Bath & Beyond Inc.,60095-41708-NL
Pupunahue,68756-22404-BE
Las Cenizas,36594-74449-OA
El Peñón,35296-46217-DM
Abeona Therapeutics Inc.,74673-57853-NK
Comcast Corporation,50194-38238-DO
"Waste Management, Inc.",26858-64232-KE
SQM - Mapocho,89733-13925-HG
Caleta El Cobre,28316-84499-FK
San José,97436-81856-EF
American Homes 4 Rent,49192-43391-DN
CMP - Los Colorados,73707-78802-AN
American Homes 4 Rent,1775-29770-OA
CMP - El Laco,93990-4511-OB
"Sportsman's Warehouse Holdings, Inc.",49845-62556-ME
"ILG, Inc",14583-19194-ED
Marte Lobo,59237-90178-AK
"Investors Bancorp, Inc.",30058-73263-NG
Lota,14186-67859-LH
"First Financial Bankshares, Inc.",49004-88868-KB
Radomiro Tomic,2370-1262-MJ
Don Alberto,95756-97985-BJ
Lomas Bayas,38764-27185-MB
"Pepsico, Inc.",67786-71682-IM
Pullalli,29605-92471-LK
Kraton Corporation,29892-59282-GH
"TC PipeLines, LP",82503-60124-HJ
China Cord Blood Corporation,36410-1181-FI
Carola,68531-94660-BA
Las Piedras,39544-50584-NE
Caleta El Cobre,72183-33545-OK
Quiborax - Ascotán,20832-50624-EJ
Costamare Inc.,44064-56710-LG
Salesforce.com Inc,86401-70144-GI
"Rush Enterprises, Inc.",76387-36955-FA
Johnson & Johnson,8028-5863-EG
"JA Solar Holdings, Co., Ltd.",43326-98153-BB
"FTI Consulting, Inc.",82163-80313-JE
Patriot National Bancorp Inc.,12709-68346-MI
First Trust Nasdaq Retail ETF,10559-30198-OE
Applied DNA Sciences Inc,72170-67356-MD
Dollar General Corporation,24730-52235-JB
"PDF Solutions, Inc.",95238-70824-AB
Kopin Corporation,2209-40203-EH
Old Republic International Corporation,95049-26407-DH
"TC PipeLines, LP",11480-37505-BM
Cowen Inc.,73337-95103-OO
Cóndor,36152-82995-OB
CMP - Algarrobo,61544-15883-EF
AmerisourceBergen Corporation (Holding Co),12653-90833-BL
"Clear Channel Outdoor Holdings, Inc.",65784-52685-MB
Can Can,15460-10295-LK
"Pinnacle Financial Partners, Inc.",38160-80388-HB
iShares 20+ Year Treasury Bond ETF,4764-34003-DB
"Edge Therapeutics, Inc.",35466-11547-OB
Manto Verde,71340-50620-OE
Kraton Corporation,31838-3110-EH
Western Asset Bond Fund,74780-31711-MO
"FairPoint Communications, Inc.",99284-26901-DJ
La Pepa,89816-93405-HO
"Idera Pharmaceuticals, Inc.",13297-60254-KB
Container Store (The),74147-15564-FD
AGCO Corporation,87783-29740-BE
"Cogentix Medical, Inc.",69340-83996-LH
Yelp Inc.,85596-15893-KD
Marine Petroleum Trust,88743-91061-BH
Bed Bath & Beyond Inc.,9005-42587-AM
Guanaco,77649-2202-JG
Pucobre,67380-53004-NN
"Xenia Hotels & Resorts, Inc.",25429-17187-JN
Nuveen Michigan Quality Municipal Income Fund,16093-77828-OB
Linderos,48458-51631-FI
Mantos de la Luna,39227-35291-MJ
"German American Bancorp, Inc.",78355-90909-NN
VictoryShares US 500 Enhanced Volatility Wtd ETF,50388-77735-FO
"PrivateBancorp, Inc.",70384-30850-HB
Tekla Healthcare Opportunies Fund,5242-54717-EB
3M Company,85120-17558-MH
SQM - Mapocho,36593-38001-OJ
Haldeman - Sagasca,73702-10038-OB
JM Global Holding Company,64117-38670-KK
Silicon Motion Technology Corporation,78261-94619-BN
Microsemi Corporation,45428-84243-LK
"Gray Television, Inc.",72780-11746-MA
Las Luces,93643-32681-DB
Container Store (The),7419-53003-DL
Peabody Energy Corporation,63035-41415-ED
Celgene Corporation,58147-55927-EH
Tekla Healthcare Opportunies Fund,23833-66120-LB
"MasTec, Inc.",99081-77815-IB
"UMH Properties, Inc.",72484-95754-NM
Chuquicamata,47505-97574-IH
Nuveen AMT-Free Municipal Value Fund,51137-13651-FI
Nuveen Michigan Quality Municipal Income Fund,45440-87531-LI
Faride,2847-95966-EG
III de Atacama Kozan,7954-24643-HB
SQM - María Elena,5594-19301-BG
Ojos del Salado,4740-83429-GE
KT Corporation,6977-38070-BM
"Pepsico, Inc.",27837-39986-DB
"Franklin Financial Network, Inc.",4369-87917-AJ
"Investors Bancorp, Inc.",30211-35505-FE
JM Global Holding Company,25926-32488-FE
Nuveen Floating Rate Income Fund,57012-11576-NE
Celite - Tilviche,34205-9616-KJ
"Urban One, Inc. ",49173-61613-OB
Cosayach - Soledad,3761-2604-JB
Las Pataguas,60169-1683-BM
"HD Supply Holdings, Inc.",40651-24183-BD
Fidus Investment Corporation,77805-33673-BA
Elenita,60931-73081-GD
Zaldívar,66023-22704-IB
"Arista Networks, Inc.",61358-64505-KH
"Tootsie Roll Industries, Inc.",98606-28120-NO
EPR Properties,34025-64101-OO
Peapack-Gladstone Financial Corporation,16021-37859-NG
Caleta El Cobre,47143-27943-BL
Talcuna,90781-91736-HO
Novanta Inc.,45118-98574-HN
Bronce de Petorca,76965-99341-DF
"Financial Engines, Inc.",4221-60952-DJ
San José,29014-56008-ED
"Forterra, Inc.",55880-76283-GG
"Dupont Fabros Technology, Inc.",94756-65698-MJ
Jazz Pharmaceuticals plc,18401-87369-IH
"Avon Products, Inc.",89514-59318-IB
SQM - Mapocho,37780-44550-LO
GlaxoSmithKline PLC,33880-38757-OK
PureFunds ETFx HealthTech ETF,7632-79610-OK
"Safe Bulkers, Inc",29298-88107-IN
El Toqui,75931-55595-FA
"Hurco Companies, Inc.",36634-93619-DD
Inseego Corp.,96725-99042-IB
Las Pataguas,10374-44703-JH
Linderos,82379-13158-LA
Los Bronces,45522-38045-LB
"Nutanix, Inc.",21510-62564-IB
Esperanza,42738-65607-DI
Lions Gate Entertainment Corporation,530-88879-LG
"Hub Group, Inc.",41032-40100-FD
"Avon Products, Inc.",16288-18277-LO
"Franklin Financial Network, Inc.",59286-83916-NK
SQM - María Elena,60089-63297-FI
"HCA Healthcare, Inc.",28812-2330-AH
Quiborax - Ascotán,54781-38985-JH
Lomas Bayas,92976-88822-FB
Radomiro Tomic,85142-80038-GA
Galectin Therapeutics Inc.,46792-29402-BO
Marine Petroleum Trust,96424-15417-EL
"ILG, Inc",16712-80808-AO
First Trust Nasdaq Retail ETF,14651-34419-NF
Abeona Therapeutics Inc.,42772-94698-IB
"CenterPoint Energy, Inc.",87610-32314-BA
"ILG, Inc",36481-15298-FB
Bright Scholar Education Holdings Limited,53771-33328-BO
Nuveen Energy MLP Total Return Fund,94105-74694-GJ
Cerro Casale,85673-32702-FG
"PDF Solutions, Inc.",27836-77536-II
Northern Trust Corporation,631-94005-BH
CMP - El Laco,45184-34157-KF
Container Store (The),76351-29124-EN
Cerro Colorado,4043-27320-GH
"Cogentix Medical, Inc.",10405-27960-OE
China Mobile (Hong Kong) Ltd.,89190-16675-LE
Silicon Motion Technology Corporation,60273-22689-LF
Enel Generacion Chile S.A.,57465-63929-BI
"China Lodging Group, Limited",24871-7773-DN
El Tesoro,45734-24893-BM
"Financial Engines, Inc.",88685-50193-OB
"The Travelers Companies, Inc.",46005-48103-BB
United Microelectronics Corporation,48106-24170-KD
AGCO Corporation,34208-2434-GF
Caleta El Cobre,92671-85191-JJ
Coirón,15632-47436-OA
Celite - Tana,5652-19288-NG
Julia,81829-80320-NF
Garrison Capital Inc.,27448-18406-GD
"Silicon Laboratories, Inc.",96894-89702-IF
"Chegg, Inc.",84341-80666-BM
Dollar General Corporation,89534-5014-BI
Nuveen Connecticut Quality Municipal Income Fund,3269-30330-EA
Nabriva Therapeutics AG,18812-77674-ON
Guanaco,66632-40025-GG
"Delcath Systems, Inc.",49791-1123-HN
Ojos del Salado,89799-74225-DG
"Entergy Louisiana, Inc.",92414-38103-BG
SQM - María Elena,44226-25221-IN
"Spark Energy, Inc.",17876-3800-OK
Cerro Bayo,81943-46109-GF
"PDF Solutions, Inc.",32712-64967-MI
"Forterra, Inc.",98476-57288-KM
SQM - María Elena,29119-91952-AL
"Investors Bancorp, Inc.",79268-32911-BB
Quiborax - Ascotán,1336-40790-HL
Pucobre,35632-85680-DI
Cabot Corporation,94666-52784-EO
Spence,22350-1085-FG
"AMC Entertainment Holdings, Inc.",76889-49879-NL
iShares MSCI EM ESG Optimized ETF,53852-94462-AE
"Vectrus, Inc.",42632-9534-DF
Bright Scholar Education Holdings Limited,45148-82623-AM
"Pinnacle Financial Partners, Inc.",15757-40969-HG
Refugio,78635-78814-BE
Vanguard Russell 3000 ETF,77949-50427-OB
SQM Salar,28089-24514-OO
"Hub Group, Inc.",46798-74178-ND
VictoryShares US 500 Enhanced Volatility Wtd ETF,12410-7041-KA
NVIDIA Corporation,79429-99286-GK
"Ocular Therapeutix, Inc.",86834-242-FH
PIMCO Dynamic Credit and Mortgage Income Fund,62977-68392-BO
Pascua,34366-26615-OL
AbbVie Inc.,10700-82683-OA
Western Asset Bond Fund,60819-71250-MF
Cosayach - Soledad,63598-11071-NH
"HCA Healthcare, Inc.",84401-18981-OB
"HD Supply Holdings, Inc.",91648-41746-KN
HollyFrontier Corporation,85339-42779-BA
"Appliance Recycling Centers of America, Inc.",1825-47068-EF
